licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,leap_url,document_url
Blackrock - D0188,Complaint,COM020707 - Web Submission,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826,https://leap.epa.ie/licence-profile/D0188/compliance/complaint/25ebf8ce-6e19-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=25ebf8ce-6e19-f011-a373-0050568a2d1a
Moyvalley Meats (IRL) - P0192,Complaint,"P0192-02, 14/04/2025, Odour & Material Handling",2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,P0192,16676a48-ed36-4471-bfb7-450165fc92d6,https://leap.epa.ie/licence-profile/P0192/compliance/complaint/9ab7300e-5819-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=9ab7300e-5819-f011-a373-0050568a2d1a
Ballincollig - D0049,Incident,Uncontrolled Release,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,D0049,d2b67f3f-cf1f-4487-96e5-993d2438a26e,https://leap.epa.ie/licence-profile/D0049/compliance/incident/22050fc5-4719-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=22050fc5-4719-f011-a373-0050568a2d1a
Electricity Supply Board (West Offaly Power) - P0611,Incident,Trigger Level Reached,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,P0611,a97c8794-77e0-416c-a5f6-f3a9b61e72a4,https://leap.epa.ie/licence-profile/P0611/compliance/incident/57c47233-4319-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=57c47233-4319-f011-a373-0050568a2d1a
Dunsink Landfill aka Dunsink Civic Amenity - W0127,Incident,Breach of EQS/MAC,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,W0127,99bc7558-022a-497a-8fe7-895627350df5,https://leap.epa.ie/licence-profile/W0127/compliance/incident/923ee7c7-4b19-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=923ee7c7-4b19-f011-a373-0050568a2d1a
Roche Ireland Limited - P0012,Incident,Spillage,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,P0012,a45f794a-3739-4e72-b6ea-1dea48efc0fe,https://leap.epa.ie/licence-profile/P0012/compliance/incident/ba954418-4d19-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=ba954418-4d19-f011-a373-0050568a2d1a
Ballynacarrick Landfill Site - W0024,Incident,Trigger Level Reached,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,W0024,708e0e98-3eb9-4ef5-8da8-81b1f6b4c18b,https://leap.epa.ie/licence-profile/W0024/compliance/incident/bcec17b5-1719-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=bcec17b5-1719-f011-a373-0050568a2d1a
Ballynacarrick Landfill Site - W0024,Incident,Trigger Level Reached,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,W0024,708e0e98-3eb9-4ef5-8da8-81b1f6b4c18b,https://leap.epa.ie/licence-profile/W0024/compliance/incident/e11437f4-0f19-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=e11437f4-0f19-f011-a373-0050568a2d1a
Ballynacarrick Landfill Site - W0024,Incident,Trigger Level Reached,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,W0024,708e0e98-3eb9-4ef5-8da8-81b1f6b4c18b,https://leap.epa.ie/licence-profile/W0024/compliance/incident/e95eecd1-1019-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=e95eecd1-1019-f011-a373-0050568a2d1a
Dunsink Landfill aka Dunsink Civic Amenity - W0127,Incident,Trigger Level Reached,2025-04-14T00:00:00+00:00,Open,2025-04-14T00:00:00,W0127,99bc7558-022a-497a-8fe7-895627350df5,https://leap.epa.ie/licence-profile/W0127/compliance/incident/f3415501-1c19-f011-a373-0050568a2d1a,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=f3415501-1c19-f011-a373-0050568a2d1a
