licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Kells - D0127,Complaint,Ragging SWO3,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=a09b1c0e-741b-f011-a373-0050568a2d1a,D0127,63ffe3ec-a34d-4ff2-9db9-4b3fe294c79c
Bord Na Móna Recycling Limited - W0240,Incident,Ambient ELV breach,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=0e3a6e54-ec19-f011-a373-0050568a2d1a,W0240,77f369a0-823e-4478-aeb0-49662581f1e1
Adare - D0312,Incident,Abatement equipment off-line,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=22ac3f3f-d419-f011-a373-0050568a2d1a,D0312,69a228ce-6ff7-415c-84eb-6a8ede955eb3
JANSSEN SCIENCES IRELAND UC - P0778,Incident,Trigger Level Reached,2025-04-15T00:00:00+00:00,Closed,2025-04-14T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=8c784f92-4819-f011-a373-0050568a2d1a,P0778,ff8e8bb5-cf35-4fb1-a789-af7571da741d
Indaver Ireland Limited (Duleek) - W0167,Incident,Trigger Level Reached,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=dea8493c-d719-f011-a373-0050568a2d1a,W0167,8dc6d731-ef7b-4e1e-9a08-8e8009148d52
Ringsend - D0034,Site Updates/Notifications,Notification of removal of Block 4 from service,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0b64287f-081a-f011-a373-0050568a2d1a,D0034,188b6e9c-77a4-4dd9-895c-17080f6af298
Huntstown Bioenergy Unlimited Company - P0993,Site Updates/Notifications,Licensee Public Response - SV32384,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2cca988b-d319-f011-a373-0050568a2d1a,P0993,3c30d42b-0fe8-e411-b3b4-0050568a69e2
Boylan Print Limited - P0784,Annual Environmental Report,AER,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=51212926-001a-f011-a373-0050568a2d1a,P0784,a63be021-1763-4c21-bc79-1e2698598da2
Ballyguyroe Landfill Site - W0002,Site Updates/Notifications,Assessment of Groundwater Monitoring Locations,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=568f9336-db19-f011-a373-0050568a2d1a,W0002,330dbe52-ed42-474a-bb43-51228b80e927
Medite Europe Designated Activity Company - P0027,Monitoring Returns,Atmospheric Monitoring Reports Q1 2025,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=63b5ef07-e819-f011-a373-0050568a2d1a,P0027,a926aeac-69ed-4213-af9a-d3eb7495b6d7
Kemek Limited - P0055,Monitoring Returns,Kemek Enfield CW DQRA Report Feb 2025 v2 Issued,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7525068a-d419-f011-a373-0050568a2d1a,P0055,3c6e3bce-0818-4100-a365-1418ea690bc8
Ballynacarrick Landfill Site - W0024,Requests for Approval and Site Reports,WFD Reporting Template Q1 2025,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=b05a0186-0b1a-f011-a373-0050568a2d1a,W0024,708e0e98-3eb9-4ef5-8da8-81b1f6b4c18b
Arthurstown Landfill - W0004,Site Updates/Notifications,W0004-04 2025 ODS-and-F-Gas-Inventory,2025-04-15T00:00:00+00:00,Open,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=b5ceeda2-df19-f011-a373-0050568a2d1a,W0004,290726e2-768f-4dee-a99b-75696d74e521
