licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
ERAS ECO Ltd - W0211,Complaint,"W0211-02, 26/05/25, Odour",2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=1d78a663-273a-f011-a373-0050568a2d1a,W0211,8851c993-adac-4688-93b4-13c9820afc14
Tullamore - D0039,Incident,,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=01f96989-4c3a-f011-a373-0050568a2d1a,D0039,5682730a-10d0-487f-a168-ed1d22ce7107
Electricity Supply Board (Moneypoint) - P0605,Incident,,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=350f6fc8-523a-f011-a373-0050568a2d1a,P0605,d7347f12-ed09-4cff-b9e0-6b40203819d8
Roadstone  Limited (Maddoxtown) - P0521,Incident,,2025-05-26T00:00:00+00:00,Closed,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=4c08875c-8431-f011-a373-0050568a2d1a,P0521,435d9311-740c-4eb5-b0e6-d8c0592b0fcb
Tipperary Co-operative Creamery Limited - P0801,Incident,,2025-05-26T00:00:00+00:00,Closed,2025-05-06T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=53bc4697-8e2a-f011-a373-0050568a2d1a,P0801,026aee83-b768-4261-9048-837d8196b0f3
ADSIL Drogheda - P1181,Incident,,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=6f4b50ed-4d3a-f011-a373-0050568a2d1a,P1181,682299b9-9644-49fc-8562-46c60af3cd5c
Ballynagran Residual Landfill - W0165,Incident,,2025-05-26T00:00:00+00:00,Closed,2025-05-23T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=87b2b35f-b537-f011-a373-0050568a2d1a,W0165,7207345b-6c69-4fa6-9401-b0a8e715d64c
Roadstone  Limited (Maddoxtown) - P0521,Incident,,2025-05-26T00:00:00+00:00,Closed,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=936cf79d-8231-f011-a373-0050568a2d1a,P0521,435d9311-740c-4eb5-b0e6-d8c0592b0fcb
Claremorris - D0071,Incident,,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=a670fc38-493a-f011-a373-0050568a2d1a,D0071,57658fc7-e3d9-40c1-8c4c-8ad957713525
Kilsheelan - D0452,Incident,,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=d20255ba-4a3a-f011-a373-0050568a2d1a,D0452,1813c3d6-21db-430d-94df-0413c0626307
Grove Turkeys Limited - P0832,Site Updates/Notifications,Licensee returns Grove Turkeys  ,2025-05-26T00:00:00+00:00,Closed,2025-05-01T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0f884468-9b26-f011-a373-0050568a2d1a,P0832,d897b839-6e41-4918-a53a-a484ddac7129
Grove Turkeys Limited - P0832,Site Updates/Notifications,Noise monitoring 2024,2025-05-26T00:00:00+00:00,Closed,2025-05-08T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=14d27e6a-ee2b-f011-a373-0050568a2d1a,P0832,d897b839-6e41-4918-a53a-a484ddac7129
Ballymount Baling Station - W0003,Site Updates/Notifications,Planned Carbon Change,2025-05-26T00:00:00+00:00,Closed,2025-04-14T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1c4af583-4019-f011-a373-0050568a2d1a,W0003,ac2d08e5-ca30-4db3-8dfa-02e6afc73ba1
ERAS ECO Ltd - W0211,Site Updates/Notifications,Reply to EPA non-compliances,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=22ed5c4d-393a-f011-a373-0050568a2d1a,W0211,8851c993-adac-4688-93b4-13c9820afc14
Mohill Landfill - W0065,Monitoring Returns,Monitoring report for Mohill- W0065 for 2024,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=25018039-373a-f011-a373-0050568a2d1a,W0065,51a1e648-d489-480e-b092-ea1735d4e7d0
Ballymount Baling Station - W0003,Site Updates/Notifications,Civic Amenity closed for the day.,2025-05-26T00:00:00+00:00,Closed,2025-04-14T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2f9d8b57-3919-f011-a373-0050568a2d1a,W0003,ac2d08e5-ca30-4db3-8dfa-02e6afc73ba1
Port of Waterford. - S0012,Site Updates/Notifications,Commencement notice late May ploughing,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=336bd070-063a-f011-a373-0050568a2d1a,S0012,d3e61a83-98a6-e611-8d41-0050568a69e2
Ballycastle - D0356,Annual Environmental Report,AER 2024,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=38c50a55-413a-f011-a373-0050568a2d1a,D0356,43bcad7d-2e87-4b3d-bb03-9f5bbeea8f05
Mohill Landfill - W0065,Monitoring Returns,Monitoring results for Mohill W0065 -01 Landfill - 2024,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=3c2c5964-363a-f011-a373-0050568a2d1a,W0065,51a1e648-d489-480e-b092-ea1735d4e7d0
Arrabawn Co-operative Society Limited - P0791,Monitoring Returns,Integrity Testing of Pipelines 2025,2025-05-26T00:00:00+00:00,Closed,2025-05-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4309606d-7f31-f011-a373-0050568a2d1a,P0791,1d9f7773-fd97-4aa8-9cb5-9654f20dcc81
Galway - D0050,Annual Environmental Report,AER 2024,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=48b83281-473a-f011-a373-0050568a2d1a,D0050,fece6fef-135e-4a4b-a091-9d2b9a346fcc
Heineken Ireland Limited - P0445,Monitoring Returns,2024 Air Emission Report ,2025-05-26T00:00:00+00:00,Closed,2024-12-19T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=5c04bfd3-11be-ef11-a36d-0050568a2d1a,P0445,c52556b1-fa4b-4ba9-83bd-bdbf6e2ffa5c
Ormonde Organics Limited (Portlaw) - W0287,Annual Environmental Report,AER 2024,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=5cb7db07-293a-f011-a373-0050568a2d1a,W0287,6ad3c482-80ad-e611-8d41-0050568a69e2
Grove Turkeys Limited - P0832,Site Updates/Notifications,Daily Eff sampling 2023,2025-05-26T00:00:00+00:00,Closed,2025-05-08T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=615e344e-ea2b-f011-a373-0050568a2d1a,P0832,d897b839-6e41-4918-a53a-a484ddac7129
Ballina - D0016,Annual Environmental Report,AER 2024,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=74251d89-3f3a-f011-a373-0050568a2d1a,D0016,dcf76db5-5398-4f8c-b8fe-9d9f4acf5f83
Allergan Pharmaceuticals Ireland Unlimited Company - P0126,Monitoring Returns,Noise monitoring report 2024,2025-05-26T00:00:00+00:00,Closed,2025-05-08T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=83974237-022c-f011-a373-0050568a2d1a,P0126,cbef24a2-cdd0-40f5-9b6c-93ecbcf24c3c
Clashford Recovery Facilities LTD - W0265,Site Updates/Notifications,Re: Site Visit SV31931,2025-05-26T00:00:00+00:00,Closed,2025-03-28T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=87fad3c6-fd0b-f011-a373-0050568a2d1a,W0265,d927580f-5fd8-e811-a2db-0050568a66b2
Corranure Landfill - W0077,Requests for Approval and Site Reports,Temporary connection to our sewerage infrastructure,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=918a06c0-273a-f011-a373-0050568a2d1a,W0077,f65c34d6-7c95-4321-afb4-5d17f6ce575f
Belmullet - D0074,Annual Environmental Report,AER 2024,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=9f4bcf24-483a-f011-a373-0050568a2d1a,D0074,2a248958-8424-4e9c-ae0b-e6598a5e6ef9
Bimeda Animal Health Limited - P0357,Site Updates/Notifications,Response to Site visit reference SV31781,2025-05-26T00:00:00+00:00,Closed,2025-04-18T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=a7a5b76c-aa1c-f011-a373-0050568a2d1a,P0357,26cba780-477f-445a-8c41-2f0067e0f8fa
BOC Gases Ireland Limited - P0051,Monitoring Returns,Water Sampling Analysis 2024,2025-05-26T00:00:00+00:00,Closed,2025-03-31T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=ac430e80-510e-f011-a373-0050568a2d1a,P0051,81b6630f-08c9-421d-b3a9-0dbe86d22952
Heineken Ireland Limited - P0445,Monitoring Returns,air emission report Boiler No 3,2025-05-26T00:00:00+00:00,Closed,2024-12-19T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=ae926562-14be-ef11-a36d-0050568a2d1a,P0445,c52556b1-fa4b-4ba9-83bd-bdbf6e2ffa5c
Ballyconnell - D0253,Annual Environmental Report,AER 2024,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=b9ce81fd-413a-f011-a373-0050568a2d1a,D0253,1ad50b08-6ff4-4eff-a354-8b7481ea18fc
Srahmore Peat Deposition Site - W0199,Site Updates/Notifications,Response to SV30257,2025-05-26T00:00:00+00:00,Open,2025-05-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=cc12e5dd-573a-f011-a373-0050568a2d1a,W0199,cbb7c12c-2b33-4174-8479-b90ca354bd9b
