licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Tramore - D0015,Complaint,Odours from Tramore WWTP,2025-05-07T00:00:00+00:00,Open,2025-05-07T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=dbe32ee7-6f31-f011-a373-0050568a2d1a,D0015,ee18cb88-39e8-44bc-9211-63516448868a
AbbVie Ireland NL B.V. - P1087,Incident,,2025-05-07T00:00:00+00:00,Open,2025-05-07T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=0092b1d2-302b-f011-a373-0050568a2d1a,P1087,4511e834-e339-4039-9d79-5cf184200443
Kilkenny Cheese Limited - P1180,Incident,,2025-05-07T00:00:00+00:00,Closed,2025-05-01T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=47edb438-7126-f011-a373-0050568a2d1a,P1180,9372871d-2362-4b79-9bad-3b762b4855ec
Arthurstown Landfill - W0004,Incident,,2025-05-07T00:00:00+00:00,Closed,2025-04-30T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=4824946c-ad25-f011-a373-0050568a2d1a,W0004,290726e2-768f-4dee-a99b-75696d74e521
ZOETIS BELGIUM S.A - P0015,Incident,,2025-05-07T00:00:00+00:00,Closed,2025-04-29T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=81b8e5ba-e924-f011-a373-0050568a2d1a,P0015,4447b20a-0d78-4af0-8ceb-27fcdd0f6fe8
Electricity Supply Board (Moneypoint) - P0605,Incident,,2025-05-07T00:00:00+00:00,Open,2025-05-07T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=8a09f883-602b-f011-a373-0050568a2d1a,P0605,d7347f12-ed09-4cff-b9e0-6b40203819d8
Kilmacrennan - D0513,Incident,,2025-05-07T00:00:00+00:00,Closed,2025-04-24T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=8a89d9de-2221-f011-a373-0050568a2d1a,D0513,eb93e51c-582a-449c-83bb-d6f6f5e79e62
Arrow Group - P0812,Incident,,2025-05-07T00:00:00+00:00,Open,2025-05-07T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=9f62b12b-542b-f011-a373-0050568a2d1a,P0812,7fcd1011-168f-44a5-88a4-7c7a6749300f
Ballaghveny Landfill - W0078,Incident,,2025-05-07T00:00:00+00:00,Open,2025-05-07T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=b14d2fb5-432b-f011-a373-0050568a2d1a,W0078,5979b920-a267-4a80-9f3e-e63c4e930d60
Starrus Eco Holdings Limited (Dock Road) - W0082,Incident,,2025-05-07T00:00:00+00:00,Closed,2025-04-29T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=fa7be4c9-f324-f011-a373-0050568a2d1a,W0082,4e579437-ffb7-4754-a233-ee766d22a0ba
