licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Kells - D0127,Complaint,Non Compliant SWO3 Newrath Stream Kells,2025-05-25T00:00:00+00:00,Open,2025-05-25T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=c550aa1b-cc3a-f011-a373-0050568a2d1a,D0127,63ffe3ec-a34d-4ff2-9db9-4b3fe294c79c
Sigma-Aldrich Ireland Limited - P0089,Incident,Fire,2025-05-24T00:00:00+00:00,Closed,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=863ae4b1-3932-f011-a373-0050568a2d1a,P0089,661072a9-52f4-4501-9aa9-83d62658a278
Starrus Eco Holdings Limited (Ballymount) - W0039,Annual Environmental Report,AER 2024,2025-05-24T00:00:00+00:00,Open,2025-05-24T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1e6107d1-8138-f011-a373-0050568a2d1a,W0039,4b5745d7-80de-49d3-892a-819d3af85e7a
Anglo Beef Processors Ireland Unlimited Company trading as ABP Waterford - P0205,Complaint,"P0205-02, 23/05/25, Odour",2025-05-23T00:00:00+00:00,Open,2025-05-23T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=cf22a14c-203a-f011-a373-0050568a2d1a,P0205,e45b9e00-8ace-4157-b3e3-7a5d07ddea3a
Swinford - D0068,Incident,Monitoring Equipment Issues,2025-05-23T00:00:00+00:00,Open,2025-05-23T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=55b71b63-d937-f011-a373-0050568a2d1a,D0068,d4eade70-f8cb-40aa-986e-cb2a774d707b
Boyle Wastewater Treatment Works - D0121,Incident,Uncontrolled Release,2025-05-23T00:00:00+00:00,Open,2025-05-23T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=81f9eb10-da37-f011-a373-0050568a2d1a,D0121,c350d028-2914-480d-8f80-fee17e5a7cb9
Ringsend - D0034,Incident,Abatement equipment off-line,2025-05-23T00:00:00+00:00,Open,2025-05-23T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=b7295dd9-d837-f011-a373-0050568a2d1a,D0034,188b6e9c-77a4-4dd9-895c-17080f6af298
Bonmahon - A0374,Incident,Uncontrolled Release,2025-05-23T00:00:00+00:00,Open,2025-05-23T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=d22da689-b437-f011-a373-0050568a2d1a,A0374,65015c75-53cf-4608-a2e4-03d98f4d437e
Swords - D0024,Incident,Uncontrolled Release,2025-05-23T00:00:00+00:00,Closed,2025-05-13T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=f8bd1cf1-d92f-f011-a373-0050568a2d1a,D0024,b6f6a05d-2001-434b-bbf5-49e2a3c8e6c2
East Cork Landfill Site - W0022,Monitoring Returns,Annual Noise 2024,2025-05-23T00:00:00+00:00,Closed,2025-01-31T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=097e123a-f5df-ef11-a372-0050568a2d1a,W0022,f3640799-e47e-4be4-8e17-3f082f4f1642
