licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Waterville - D0287,Incident,,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=83b95843-b830-f011-a373-0050568a2d1a,D0287,c294d2f6-33b7-4f91-a38c-4a8453fe736a
Castlerea - D0118,Incident,,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=a623c481-ca30-f011-a373-0050568a2d1a,D0118,b95876df-f9d9-4f87-9d1b-d5fc8b844f11
Forest Laboratories Ireland Limited - P0306,Incident,,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=aabde8b1-c430-f011-a373-0050568a2d1a,P0306,cc43e214-bf6b-48f5-8cc5-fa67457b2e25
Balbriggan - D0023,Incident,,2025-05-14T00:00:00+00:00,Closed,2025-04-28T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=bc3f6bb4-3e24-f011-a373-0050568a2d1a,D0023,be170d92-a967-4d47-bcfa-6ef7f147d8a9
Kilcar - D0520,Incident,,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=bdbe46eb-d730-f011-a373-0050568a2d1a,D0520,b6ff2074-5404-40f5-bd89-81f8adf5ade6
Tralee - D0040,Incident,,2025-05-14T00:00:00+00:00,Closed,2025-05-13T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=c29f0952-e32f-f011-a373-0050568a2d1a,D0040,221dec58-ed76-4de0-870d-997caad3d743
Takeda Ireland Limited - P0693,Incident,,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=c4648064-a730-f011-a373-0050568a2d1a,P0693,3bbf892b-2769-4a14-861f-c87dfd752765
Charlestown - D0214,Incident,,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=e47ad587-d630-f011-a373-0050568a2d1a,D0214,7e7cf983-e6b8-4581-a2ec-1acf50edbddc
Ballyleague and Environs - D0229,Incident,,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=e9557dc2-cb30-f011-a373-0050568a2d1a,D0229,748b7706-7908-4d88-8de2-329bd48b54bc
Ballincollig - D0049,Site Updates/Notifications,Documentation request for SV32552,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=028686c2-da30-f011-a373-0050568a2d1a,D0049,d2b67f3f-cf1f-4487-96e5-993d2438a26e
Kentstown - D0479,Site Updates/Notifications,Information requested at SV32296,2025-05-14T00:00:00+00:00,Closed,2025-05-02T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=3c928ca0-5927-f011-a373-0050568a2d1a,D0479,24b28206-716f-4784-9c96-a552cac54db8
Pfizer Ireland Pharmaceuticals Unlimited Company (Ringaskiddy) - P0013,Requests for Approval and Site Reports,Installation of new potential emission points from chiller GCC-1025,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=beafbedc-b530-f011-a373-0050568a2d1a,P0013,8e7289a5-44fc-4715-b9b6-a76e88c16c0d
GP Wood Ltd - P0594,Monitoring Returns,April 2025 Surface Water Report,2025-05-14T00:00:00+00:00,Open,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=f81aca8d-d930-f011-a373-0050568a2d1a,P0594,a8bf7e16-caba-4137-a7d7-d34c1df05886
Pfizer Ireland Pharmaceuticals Unlimited Company (Grange Castle) - P0652,EPA Initiated Correspondence,,2025-05-14T00:00:00+00:00,Open,2025-05-13T00:00:00,https://data.epa.ie/leap/api/v1/MeetingCorrespondence/epainiciatedcorrespondencebyid?epainitiatedcorrespondence_id=851cd524-d72f-f011-a373-0050568a2d1a,P0652,52836abc-c980-4735-818e-6ee1bcfd6152
Kentstown - D0479,Site Visit,,2025-05-14T00:00:00+00:00,Closed,2025-04-29T00:00:00,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=ddfdfdde-03f9-ef11-a325-0050568a66b2,D0479,24b28206-716f-4784-9c96-a552cac54db8
ERAS ECO Ltd - W0211,Complaint,COM020879 - Web Submission,2025-05-13T00:00:00+00:00,Open,2025-05-13T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=d6b2e3fa-d12f-f011-a373-0050568a2d1a,W0211,8851c993-adac-4688-93b4-13c9820afc14
Walshestown Restoration Limited - W0254,Incident,,2025-05-13T00:00:00+00:00,Closed,2025-05-06T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=0e0a9b20-932a-f011-a373-0050568a2d1a,W0254,af4ef788-0ab5-4ca6-8f58-98bd88a78c59
Carrickmacross - D0062,Incident,,2025-05-13T00:00:00+00:00,Open,2025-05-13T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=3eb6d72c-ee2f-f011-a373-0050568a2d1a,D0062,e3070276-6ec8-4364-a49c-1507ba7db3ad
Pfizer Ireland Pharmaceuticals Unlimited Company (Grange Castle) - P0652,Incident,,2025-05-13T00:00:00+00:00,Open,2025-05-13T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=445978bb-2030-f011-a373-0050568a2d1a,P0652,52836abc-c980-4735-818e-6ee1bcfd6152
Mannok Cement Limited - P0378,Incident,,2025-05-13T00:00:00+00:00,Closed,2025-04-17T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=5f964579-961b-f011-a373-0050568a2d1a,P0378,378af8f1-f920-4793-8c2b-269b8f1da13a
Dundalk - D0053,Incident,,2025-05-13T00:00:00+00:00,Open,2025-05-13T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=6ae9d5c2-0a30-f011-a373-0050568a2d1a,D0053,0f980dc0-25cd-42b8-bb38-077b54e6a8dd
