licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Knockharley Landfill - W0146,Complaint,"W0146-04, 02/06/2025, Odour",2025-06-19T00:00:00+00:00,Closed,2025-06-03T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=38144aeb-2842-f011-a373-0050568a2d1a,W0146,8a684cb8-e7fb-4d81-b843-20ffd7f4aeeb
Knockharley Landfill - W0146,Complaint,"W0146-04, 02/06/2025, Air Quality",2025-06-19T00:00:00+00:00,Closed,2025-06-03T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=8951773d-6b40-f011-a373-0050568a2d1a,W0146,8a684cb8-e7fb-4d81-b843-20ffd7f4aeeb
Loughrea - D0194,Incident,,2025-06-19T00:00:00+00:00,Closed,2025-05-23T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=065529af-e737-f011-a373-0050568a2d1a,D0194,8815bae1-2366-4cab-b8a4-d08b852f1478
Starrus Eco Holdings Limited (Sligo) - W0058,Site Updates/Notifications,Civic amenity waste records for Sligo,2025-06-19T00:00:00+00:00,Closed,2025-05-19T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=07eb3f48-a034-f011-a373-0050568a2d1a,W0058,596c7017-578c-493a-b66b-d6f0b4bd1410
embecta Penel Limited - P0648,Site Updates/Notifications,ODS and F-Gas Inventory,2025-06-19T00:00:00+00:00,Closed,2025-04-08T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=08a98bb6-9214-f011-a373-0050568a2d1a,P0648,9fe42fd4-7f61-4d91-8ab9-5e11f69582b7
Ipsen Manufacturing Limited - P0117,Site Updates/Notifications,SV31851 Action - Spillages to storm water,2025-06-19T00:00:00+00:00,Closed,2025-06-06T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=18542932-d542-f011-a373-0050568a2d1a,P0117,0251c65c-5ad5-49cf-a86f-e1a3404bf003
Rathroeen Landfill - W0067,Site Updates/Notifications,SV31266- response 06/06/2025,2025-06-19T00:00:00+00:00,Closed,2025-06-06T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2c4c3f5e-e442-f011-a373-0050568a2d1a,W0067,3441b1da-d908-492b-b393-d77ae6e6b056
Johnson & Johnson Vision Care Ireland Unlimited Company - P0818,Monitoring Returns,"December 2024 Monthly Report for P0818-05, Storm Water",2025-06-19T00:00:00+00:00,Closed,2025-01-16T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2ed3c756-22d4-ef11-a36e-0050568a2d1a,P0818,c384e292-8ae1-44cd-a0f3-80d28c31c889
Galco Steel Limited - P0284,Site Updates/Notifications,P0284-02_2025_SV32385_LR,2025-06-19T00:00:00+00:00,Closed,2025-05-06T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=395f7e59-7f2a-f011-a373-0050568a2d1a,P0284,8876f47f-8916-43a2-b8e5-52201886c6f3
Pfizer Ireland Pharmaceuticals Unlimited Company (Newbridge) - P0153,Site Updates/Notifications,Updated repair report for INCIO29581,2025-06-19T00:00:00+00:00,Closed,2025-03-26T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=434f81d7-570a-f011-a373-0050568a2d1a,P0153,a3a54cba-adf7-4285-b057-7e331f952f80
