licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Astellas Ireland Company Limited - P0007,Incident,Abatement equipment off-line,2025-06-18T00:00:00+00:00,Closed,2025-05-30T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=6b8499c6-8b3d-f011-a373-0050568a2d1a,P0007,70af4f9e-968f-4979-b8b4-1902cd92e4f4
Enniscorthy - D0029,Incident,Uncontrolled Release,2025-06-18T00:00:00+00:00,Closed,2025-05-30T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=d68fb804-483d-f011-a373-0050568a2d1a,D0029,78d6ce97-ca36-4c12-8170-c1a491b0fd57
Donohill Landfill - W0074,Incident,Trigger Level Reached,2025-06-18T00:00:00+00:00,Closed,2025-05-30T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=f455795d-623d-f011-a373-0050568a2d1a,W0074,cdb83cc9-092b-4574-ab13-4711ac3355c0
Ballymurtagh Landfill Facility - W0011,Monitoring Returns,Ballymurtagh Landfill - Q4 2024 Surface Water Monitoring Report. ,2025-06-18T00:00:00+00:00,Closed,2025-02-11T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4152fcca-98e8-ef11-a372-0050568a2d1a,W0011,c2f63398-a0ac-4a1b-acfd-4e23f5a0cb23
Ballymurtagh Landfill Facility - W0011,Monitoring Returns,Ballymurtagh - Q4 2024 GW Report.,2025-06-18T00:00:00+00:00,Closed,2025-02-11T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=42dc50a7-98e8-ef11-a372-0050568a2d1a,W0011,c2f63398-a0ac-4a1b-acfd-4e23f5a0cb23
The Hammond Lane Metal Company Limited - P0997,Site Updates/Notifications,Diesel Range Organics,2025-06-18T00:00:00+00:00,Closed,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=5fbf0f2c-7132-f011-a373-0050568a2d1a,P0997,77385efd-ce54-e611-9a04-0050568a69e2
Donohill Landfill - W0074,Requests for Approval and Site Reports,SEW Report on the Donohill Landfill Surface Water Management,2025-06-18T00:00:00+00:00,Closed,2025-05-14T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7477114f-d530-f011-a373-0050568a2d1a,W0074,cdb83cc9-092b-4574-ab13-4711ac3355c0
Tulligmore Quarry Solutions Limited - W0255,Requests for Approval and Site Reports,Waste Categories and Quantities,2025-06-18T00:00:00+00:00,Closed,2025-06-09T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=80ac1002-0b45-f011-a373-0050568a2d1a,W0255,f138c9f0-b24b-4e8b-b827-1cb490ebc9e1
Henkel Ireland Operations and Research Ireland Limited (Tallaght) - P0079,Monitoring Returns,2025 Q1 Emissions to sewer,2025-06-18T00:00:00+00:00,Closed,2025-04-10T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=abbb3b93-3016-f011-a373-0050568a2d1a,P0079,af2d8f84-1b57-424a-a46a-a029fa9d4cda
Ballymurtagh Landfill Facility - W0011,Monitoring Returns,Ballymurtagh Landfill - Q4 2024 Leachate Monitoring Report. ,2025-06-18T00:00:00+00:00,Closed,2025-02-11T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=b7c474e8-98e8-ef11-a372-0050568a2d1a,W0011,c2f63398-a0ac-4a1b-acfd-4e23f5a0cb23
